Rank,Player,Team,Expected Goals (xG),Actual Goals,Minutes,Matches,Country
397,Ferland Mendy,Real Madrid,0.2,0.0,1725,23,FRA
397,Hector Bellerin,Real Betis,0.2,0.0,1714,23,ESP
397,Inigo Lekue,Athletic Club,0.2,0.0,2001,27,ESP
397,Jailson,Celta de Vigo,0.2,0.0,893,14,BRA
397,Jorge Meré,Cádiz,0.2,0.0,677,10,ESP
397,Juanpe,Girona,0.2,0.0,739,17,ESP
397,Kieran Tierney,Real Sociedad,0.2,0.0,1243,20,SCO
397,Marc Bartra,Real Betis,0.2,0.0,225,3,ESP
397,Marcos Pena,Almería,0.2,0.0,439,7,ESP
397,Mario Dominguez,Valencia CF,0.2,0.0,23,3,ESP
397,Martin Hongla,Granada CF,0.2,0.0,558,13,CMR
397,Maximo Perrone,Las Palmas,0.2,0.0,1626,29,ARG
397,Pau Cubarsi,Barcelona,0.2,0.0,1562,19,ESP
397,Siebe van der Heyden,Mallorca,0.2,0.0,284,6,BEL
397,Thomas Lemar,Atlético de Madrid,0.2,0.0,166,3,FRA
397,Toni Lato,Mallorca,0.2,0.0,1546,28,ESP
420,Federico San Emeterio,Cádiz,0.1,1.0,155,4,ESP
420,Stefan Mitrovic,Getafe,0.1,1.0,700,11,SRB
420,Unai Garcia,Osasuna,0.1,1.0,559,9,ESP
423,Abner,Real Betis,0.1,0.0,1397,23,BRA
423,Aitor Fernández,Osasuna,0.1,0.0,550,7,ESP
423,Alberto Risco,Getafe,0.1,0.0,135,4,ESP
423,Álex Balde,Barcelona,0.1,0.0,1378,18,ESP
423,Álex Morata,Cádiz,0.1,0.0,0,1,ESP
423,Álvaro Negredo,Cádiz,0.1,0.0,48,7,ESP
423,Andrés Guardado,Real Betis,0.1,0.0,442,12,MEX
423,Carlos Neva,Granada CF,0.1,0.0,3152,36,ESP
423,Denis Suárez,Villarreal,0.1,0.0,130,4,ESP
423,Djené,Getafe,0.1,0.0,2490,33,TOG
423,Éder Militao,Real Madrid,0.1,0.0,497,10,BRA
423,Enes Ünal,Getafe,0.1,0.0,138,3,TUR
423,Francis Coquelin,Villarreal,0.1,0.0,909,17,FRA
423,Javi Galán,Real Sociedad,0.1,0.0,1159,19,ESP
423,Javier Manquillo,Celta de Vigo,0.1,0.0,746,12,ESP
423,Jesus Navas,Sevilla,0.1,0.0,2010,29,ESP
423,Jon Aramburu,Real Sociedad,0.1,0.0,541,11,VEN
423,Joseph Aidoo,Celta de Vigo,0.1,0.0,407,6,GHA
423,Juan Cruz,Real Betis,0.1,0.0,71,5,ESP
423,Kamil Jozwiak,Granada CF,0.1,0.0,573,11,POL
423,Luiz Felipe,Real Betis,0.1,0.0,360,4,ITA
423,Malcom Ares,Athletic Club,0.1,0.0,258,12,ESP
423,Marcos Alonso,Barcelona,0.1,0.0,250,5,ESP
423,Miguel Crespo,Rayo Vallecano,0.1,0.0,521,15,POR
423,Miguel de la Fuente,Alavés,0.1,0.0,64,3,ESP
423,Milutin Osmajic,Cádiz,0.1,0.0,4,1,MNE
423,Nico Paz,Real Madrid,0.1,0.0,19,4,ARG
423,Sergio Herrera,Osasuna,0.1,0.0,2870,32,ESP
423,Sergio Rodelas,Granada CF,0.1,0.0,122,3,ESP
423,Urko González,Real Sociedad,0.1,0.0,154,5,ESP
423,Yannick Carrasco,Atlético de Madrid,0.1,0.0,223,3,BEL
423,Yarek Gasiorowski,Valencia CF,0.1,0.0,732,14,ESP
423,Youssouf Sabaly,Real Betis,0.1,0.0,1048,12,SEN
456,Adrià Altimira,Villarreal,0.0,0.0,779,11,ESP
456,Aingeru Olabarrieta,Athletic Club,0.0,0.0,8,1,ESP
456,Aleksandar Radovanovic,Almería,0.0,0.0,571,9,SRB
456,Álex Centelles,Almería,0.0,0.0,979,14,ESP
456,Álvaro Lemos,Las Palmas,0.0,0.0,251,4,ESP
456,Augusto Batalla,Granada CF,0.0,0.0,1530,17,ARG
456,Boubakary Soumaré,Sevilla,0.0,0.0,2286,28,FRA
456,Damian Rodriguez,Celta de Vigo,0.0,0.0,257,5,ESP
456,Diadie Samassékou,Cádiz,0.0,0.0,87,4,MLI
456,Fernando,Sevilla,0.0,0.0,459,8,BRA
456,Gonzalo Garcia,Real Madrid,0.0,0.0,17,2,ESP
456,Hannibal Mejbri,Sevilla,0.0,0.0,101,6,TUN
456,Héctor Fort,Barcelona,0.0,0.0,320,7,ESP
456,Houboulang Mendes,Almería,0.0,0.0,396,7,GNB
456,Hugo González,Valencia CF,0.0,0.0,79,9,ESP
456,Imanol Garcia de Albeniz,Athletic Club,0.0,0.0,523,9,ESP
456,José Campana,Las Palmas,0.0,0.0,166,8,ESP
456,Joseba Zaldua,Cádiz,0.0,0.0,709,13,ESP
456,Juan Cruz,Osasuna,0.0,0.0,1663,26,ESP
456,Kevin Vázquez,Celta de Vigo,0.0,0.0,706,12,ESP
456,Kiko,Villarreal,0.0,0.0,1579,23,ESP
456,Manu Bueno,Sevilla,0.0,0.0,99,4,ESP
456,Marciano Sanca,Almería,0.0,0.0,37,6,GNB
456,Mikel Jauregizar,Athletic Club,0.0,0.0,145,7,ESP
456,Njegos Petrovic,Granada CF,0.0,0.0,148,10,SRB
456,Pablo Busto,Real Betis,0.0,0.0,42,2,ESP
456,Pablo Gozálbez,Valencia CF,0.0,0.0,99,5,ESP
456,Srdjan Babic,Almería,0.0,0.0,90,1,SRB
456,Tanguy Nianzou,Sevilla,0.0,0.0,315,8,FRA
456,Toni Villa,Girona,0.0,0.0,11,2,ESP
456,Wilson Manafa,Granada CF,0.0,0.0,241,4,POR
